Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C7",CP_Radial_D5.0mm_P2.00mm,4,10u,
"C10, C8, C9",0603,3,1u,
C3,0603,1,220n,
C4,0603,1,100n,
C5,0402,1,100p,
C6,CP_Radial_D8.0mm_P3.50mm,1,220uF,
D1,TO-263-2_TabPin1,1,STPS5L25B,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J3,CONN_12402032E202A_AMP,1,USB-C-Port,
L1,L_12x12mm_H6mm,1,68uH,
Q1,SOT-23-3,1,STR2P3LLH6,
"Q2, Q3",8-PowerVDFN,2,STL6P3LLH6,
R1,0603,1,200k,
"R10, R9",0402,2,10k,
R11,0603,1,2k2,
R12,0402,1,100,
R2,0402,1,13k,
R3,0603,1,4k7,
R4,0603,1,4k87,
R5,0402,1,8k66,
R6,0805,1,33k,
R7,0402,1,100k,
R8,0805,1,820,
U1,TI_SO-PowerPAD-8,1,ST1S14PHR,
U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,STUSB4710,
