Designator,Mid X,Mid Y,Rotation,Layer
C1,130.3,-98.12,0.0,top
D1,140.46,-86.69,0.0,top
D2,120.14,-86.69,0.0,top
D3,160.78,-86.69,0.0,top
J1,115.06,-103.2,180.0,top
J2,118.87,-93.04,90.0,top
J3,120.14,-58.75,270.0,top
J4,140.46,-58.75,270.0,top
J5,160.78,-58.75,270.0,top
Q1,130.3,-66.37,0.0,top
Q2,150.62,-66.37,0.0,top
Q3,170.94,-66.37,0.0,top
R1,130.3,-76.53,90.0,top
R2,150.62,-76.53,90.0,top
R3,170.94,-76.53,90.0,top
S1,120.14,-115.835,90.0,top
S2,132.84,-115.9,90.0,top
S3,145.54,-115.9,90.0,top
S4,158.24,-115.9,90.0,top
S5,170.94,-115.9,90.0,top
U1,126.37,-101.81,180.0,top
U2,120.14,-73.99,180.0,top
U3,140.46,-73.99,180.0,top
U4,160.78,-73.99,180.0,top
